customer_id,age,state,account_type,monthly_income_bracket,avg_monthly_balance,num_transactions_month,mobile_app_logins,customer_support_calls,preferred_channel,tenure_months,credit_score,churn
1,49,FCT,Current,>600k,78219.39,24,18,1,USSD,23,605.0,0
2,34,Akwa Ibom,Savings,50k-150k,253689.1,24,29,0,Mobile App,99,548.0,0
3,35,Lagos,Business,150k-300k,78805.97,31,22,3,Mobile App,21,618.0,0
4,21,Kaduna,Current,<50k,89117.77,21,13,1,Branch,106,697.0,0
5,52,Niger,Savings,<50k,159499.82,18,18,1,Branch,68,539.0,0
6,57,Kebbi,Current,300k-600k,179106.03,29,18,1,Mobile App,22,539.0,0
7,53,Ebonyi,Current,50k-150k,81080.69,27,19,1,USSD,15,702.0,0
8,40,Jigawa,Savings,50k-150k,163336.74,24,16,1,USSD,27,629.0,0
9,32,Kebbi,Business,50k-150k,192372.08,26,22,1,USSD,101,518.0,0
10,30,Anambra,Business,<50k,60557.73,19,20,1,USSD,3,609.0,0
11,31,Rivers,Savings,300k-600k,53770.91,27,20,2,Mobile App,80,518.0,0
12,31,Kaduna,Savings,<50k,442245.95,20,14,4,USSD,28,518.0,0
13,54,Ondo,Savings,<50k,208512.57,19,25,5,USSD,101,582.0,0
14,22,Zamfara,Savings,300k-600k,74524.04,25,16,1,Mobile App,56,388.0,0
15,39,FCT,Savings,50k-150k,160043.38,20,23,1,Mobile App,39,405.0,0
16,45,Niger,Savings,300k-600k,245794.42,31,16,1,Mobile App,101,509.0,0
17,62,Lagos,Business,150k-300k,4577.84,28,24,2,USSD,110,469.0,0
18,21,Delta,Current,50k-150k,504727.31,31,14,0,ATM,78,588.0,0
19,67,Borno,Current,50k-150k,252624.87,33,24,0,Mobile App,86,478.0,1
20,55,Adamawa,Business,150k-300k,99599.7,30,13,1,Branch,115,433.0,0
21,46,Yobe,Savings,50k-150k,538423.79,28,18,2,Mobile App,108,692.0,0
22,54,Kebbi,Current,50k-150k,11493.57,22,19,3,Mobile App,118,540.0,0
23,52,Ogun,Savings,300k-600k,280632.45,23,14,3,Mobile App,117,566.0,0
24,37,Kwara,Current,150k-300k,149431.04,23,13,0,ATM,9,432.0,0
25,52,Rivers,Savings,300k-600k,218599.31,18,18,1,Mobile App,76,511.0,0
26,52,Niger,Savings,50k-150k,127501.13,17,13,0,USSD,43,570.0,0
27,37,Benue,Savings,<50k,31853.26,21,14,1,USSD,65,456.0,1
28,19,Sokoto,Current,300k-600k,60435.4,24,22,2,Mobile App,107,594.0,0
29,69,Jigawa,Business,150k-300k,124367.68,28,16,0,Mobile App,20,506.0,0
30,35,Borno,Savings,150k-300k,502267.2,32,21,3,Branch,6,534.0,0
31,47,Jigawa,Savings,50k-150k,14153.71,29,19,0,Mobile App,76,506.0,1
32,59,Kaduna,Current,50k-150k,22121.25,30,24,1,USSD,110,727.0,0
33,46,Zamfara,Savings,50k-150k,33142.16,24,15,2,Mobile App,88,559.0,0
34,56,Kwara,Business,150k-300k,200000.12,26,20,1,USSD,69,465.0,0
35,69,Edo,Savings,150k-300k,91237.52,30,23,3,ATM,21,634.0,0
36,39,Kwara,Savings,300k-600k,32325.97,17,19,0,Branch,55,450.0,1
37,46,Sokoto,Savings,<50k,26013.76,27,15,3,Mobile App,62,579.0,0
38,63,Ondo,Current,50k-150k,224270.12,23,14,0,Branch,98,384.0,0
39,27,Kwara,Savings,150k-300k,124199.07,18,26,0,Mobile App,113,440.0,0
40,37,Benue,Savings,150k-300k,412332.23,20,20,0,Branch,103,578.0,0
41,33,Adamawa,Current,<50k,103511.53,28,14,2,Branch,22,626.0,0
42,23,Abia,Savings,<50k,213272.63,21,19,0,Branch,111,575.0,0
43,34,Anambra,Savings,50k-150k,317774.66,22,13,1,USSD,21,550.0,0
44,23,Borno,Business,<50k,614431.03,21,16,2,Mobile App,47,533.0,0
45,39,Osun,Current,150k-300k,406966.6,28,17,2,Mobile App,117,427.0,0
46,35,Kaduna,Savings,150k-300k,298603.68,20,12,2,Mobile App,8,495.0,0
47,49,FCT,Savings,300k-600k,106507.96,23,15,0,USSD,29,519.0,0
48,45,Plateau,Savings,50k-150k,812621.14,26,19,2,Mobile App,105,655.0,0
49,59,Bayelsa,Current,150k-300k,61500.54,24,20,0,Mobile App,35,591.0,0
50,27,Lagos,Current,>600k,216525.55,31,18,3,Mobile App,83,401.0,0
51,58,Gombe,Current,>600k,27994.33,21,27,1,Mobile App,58,589.0,0
52,39,Edo,Current,<50k,186244.21,31,15,3,USSD,44,525.0,0
53,45,Enugu,Savings,<50k,234164.79,28,12,2,Branch,92,499.0,1
54,32,Ogun,Savings,>600k,18926.58,23,17,0,Mobile App,28,615.0,0
55,60,FCT,Current,50k-150k,69896.88,31,26,2,Mobile App,63,653.0,0
56,46,Ekiti,Savings,150k-300k,205179.07,23,26,4,USSD,16,644.0,1
57,24,Akwa Ibom,Current,300k-600k,184328.56,40,17,2,USSD,46,484.0,0
58,67,Imo,Savings,50k-150k,220651.58,15,28,1,Mobile App,109,532.0,0
59,51,Edo,Savings,50k-150k,26579.25,33,13,1,Mobile App,2,590.0,0
60,49,Enugu,Current,<50k,144848.91,34,12,0,USSD,118,648.0,0
61,19,Taraba,Current,300k-600k,525129.93,29,22,1,Mobile App,34,517.0,0
62,43,Plateau,Current,150k-300k,614829.3,28,22,0,Mobile App,81,543.0,0
63,62,Bauchi,Current,<50k,27101.94,22,20,2,USSD,2,460.0,1
64,28,Edo,Savings,50k-150k,449614.36,23,25,4,Mobile App,40,452.0,0
65,42,Niger,Business,50k-150k,171829.6,19,16,0,Mobile App,18,633.0,0
66,36,Jigawa,Current,<50k,279606.84,25,21,0,Mobile App,57,682.0,0
67,37,Ebonyi,Savings,<50k,32655.98,16,20,2,ATM,109,554.0,0
68,50,Sokoto,Current,50k-150k,267779.96,28,20,2,Mobile App,6,650.0,0
69,34,Anambra,Current,50k-150k,14746.0,33,10,2,Branch,46,593.0,0
70,69,Rivers,Current,150k-300k,200487.75,20,17,1,Mobile App,69,502.0,0
71,47,Plateau,Current,<50k,220565.58,19,12,2,ATM,100,593.0,0
72,35,Ebonyi,Current,300k-600k,218564.94,28,22,1,Mobile App,81,698.0,0
73,49,Jigawa,Savings,50k-150k,12089.64,14,23,1,Mobile App,64,557.0,1
74,57,Ogun,Savings,<50k,96963.75,21,19,2,USSD,23,701.0,0
75,62,Borno,Current,50k-150k,272824.84,15,20,1,Mobile App,20,324.0,0
76,21,Kebbi,Current,300k-600k,318730.44,26,19,1,Mobile App,47,634.0,0
77,49,Sokoto,Savings,50k-150k,107402.46,21,25,3,ATM,43,568.0,0
78,36,Bauchi,Savings,300k-600k,35351.56,24,11,0,Mobile App,113,533.0,0
79,20,Rivers,Savings,<50k,138408.18,23,20,0,Mobile App,31,568.0,0
80,55,Nasarawa,Current,300k-600k,210115.31,27,20,1,Mobile App,69,381.0,0
81,45,Borno,Savings,50k-150k,506151.59,32,13,2,USSD,45,540.0,0
82,55,Ogun,Current,300k-600k,228728.93,30,14,0,Mobile App,64,592.0,0
83,23,Niger,Savings,300k-600k,345938.15,20,19,1,Mobile App,29,693.0,0
84,57,Osun,Current,150k-300k,61508.15,17,30,1,Mobile App,77,513.0,0
85,34,Cross River,Business,150k-300k,358238.89,20,13,2,USSD,108,487.0,0
86,59,Kaduna,Current,<50k,189335.18,30,16,1,Mobile App,37,515.0,0
87,22,Benue,Savings,150k-300k,159252.94,27,15,1,Branch,70,642.0,0
88,36,Kebbi,Current,50k-150k,62084.69,25,25,1,Mobile App,19,590.0,0
89,60,Imo,Savings,50k-150k,45604.99,20,17,2,ATM,14,512.0,0
90,59,Akwa Ibom,Savings,50k-150k,156998.5,25,17,0,Mobile App,119,606.0,0
91,52,Rivers,Savings,300k-600k,444088.56,19,25,2,ATM,86,569.0,0
92,39,Delta,Savings,<50k,53674.71,20,20,1,Mobile App,2,647.0,0
93,41,Rivers,Savings,50k-150k,65338.05,24,13,0,Branch,95,497.0,0
94,27,Borno,Current,50k-150k,590998.43,34,21,2,Mobile App,74,531.0,0
95,19,Rivers,Savings,>600k,5393.51,32,11,1,USSD,85,525.0,0
96,45,Anambra,Current,>600k,132868.85,22,17,2,Mobile App,4,428.0,0
97,58,Osun,Savings,50k-150k,150480.57,28,23,2,Branch,66,587.0,0
98,54,Edo,Business,50k-150k,225232.54,20,19,0,Mobile App,24,583.0,0
99,34,FCT,Savings,300k-600k,43130.79,23,20,2,Branch,77,560.0,0
100,23,Zamfara,Savings,<50k,169452.2,28,20,1,ATM,38,539.0,0
101,60,Kano,Savings,50k-150k,23186.64,25,12,0,USSD,53,433.0,1
102,22,FCT,Current,<50k,62124.17,27,19,1,Mobile App,16,522.0,0
103,56,Plateau,Business,>600k,3044.65,26,27,2,Mobile App,62,529.0,1
104,24,Niger,Current,50k-150k,120811.44,24,24,2,USSD,66,488.0,1
105,49,Bayelsa,Savings,50k-150k,38501.13,24,11,1,Mobile App,32,545.0,0
106,21,Osun,Savings,50k-150k,20351.99,22,18,3,Mobile App,30,596.0,0
107,38,Jigawa,Savings,300k-600k,84413.16,25,19,1,Mobile App,21,730.0,0
108,59,Katsina,Savings,>600k,16506.33,20,18,2,ATM,96,576.0,0
109,49,Delta,Current,<50k,218374.96,19,24,2,USSD,75,583.0,0
110,35,Bayelsa,Savings,150k-300k,44845.84,25,19,1,Branch,34,553.0,0
111,50,Rivers,Savings,50k-150k,247763.09,18,27,1,Mobile App,70,387.0,0
112,31,Adamawa,Savings,<50k,366337.31,23,17,1,USSD,38,558.0,0
113,23,Delta,Savings,50k-150k,270416.17,25,30,1,USSD,8,565.0,0
114,28,FCT,Business,>600k,287813.39,21,16,4,Mobile App,9,782.0,0
115,63,Ogun,Savings,50k-150k,206433.19,25,15,1,Branch,119,543.0,0
116,37,Kano,Savings,50k-150k,94417.29,27,17,1,Mobile App,44,587.0,0
117,46,Imo,Current,300k-600k,85709.29,21,13,5,USSD,34,557.0,1
118,52,Katsina,Savings,300k-600k,168302.54,22,20,0,USSD,15,455.0,0
119,33,Zamfara,Savings,50k-150k,57016.7,20,15,2,Mobile App,29,663.0,0
120,65,Bauchi,Current,50k-150k,84516.39,21,14,1,Mobile App,31,628.0,0
121,24,Kaduna,Business,150k-300k,33754.71,31,17,0,USSD,75,631.0,0
122,57,Borno,Current,<50k,302950.4,32,17,2,USSD,115,478.0,1
123,53,Ekiti,Business,50k-150k,266076.86,27,14,1,USSD,68,686.0,0
124,61,Delta,Current,<50k,139936.13,20,16,1,Mobile App,32,434.0,0
125,61,Zamfara,Savings,50k-150k,92271.59,19,12,1,Mobile App,81,613.0,0
126,48,Kano,Savings,50k-150k,238589.51,19,18,1,Mobile App,82,757.0,0
127,59,Plateau,Current,150k-300k,17695.6,25,17,3,Mobile App,11,471.0,1
128,61,Zamfara,Savings,50k-150k,9785.36,24,12,3,Mobile App,27,509.0,0
129,60,Osun,Savings,300k-600k,240639.43,21,16,2,Mobile App,53,569.0,0
130,60,Kwara,Business,>600k,159729.49,26,12,1,Mobile App,5,515.0,0
131,64,Rivers,Savings,<50k,264279.3,24,17,0,Mobile App,109,420.0,0
132,23,Ebonyi,Savings,50k-150k,65582.88,22,21,3,Branch,64,566.0,0
133,46,Adamawa,Current,50k-150k,22924.23,29,20,1,Mobile App,9,464.0,1
134,44,Rivers,Current,50k-150k,112410.41,25,16,3,Mobile App,6,603.0,0
135,60,Bauchi,Savings,50k-150k,111266.49,20,12,1,Branch,36,477.0,0
136,19,Plateau,Savings,50k-150k,284634.31,21,16,0,Mobile App,67,699.0,0
137,39,Ekiti,Savings,<50k,26052.62,25,19,2,ATM,6,490.0,1
138,26,Kogi,Savings,50k-150k,584034.07,31,25,2,USSD,11,531.0,0
139,28,Yobe,Current,150k-300k,11525.03,31,24,3,USSD,7,633.0,0
140,33,Kano,Current,50k-150k,75065.67,30,11,1,ATM,61,449.0,0
141,62,Osun,Savings,<50k,242807.68,18,22,0,USSD,84,580.0,0
142,30,Kwara,Current,<50k,252788.86,21,14,0,USSD,94,678.0,0
143,35,Kano,Current,50k-150k,167429.89,22,17,1,Mobile App,96,415.0,1
144,42,Imo,Current,150k-300k,14717.77,29,15,0,USSD,83,577.0,0
145,50,Plateau,Savings,50k-150k,388089.67,21,17,2,Mobile App,96,583.0,0
146,69,Imo,Savings,50k-150k,201423.0,33,17,1,Mobile App,84,630.0,0
147,27,Niger,Current,>600k,284446.57,29,20,0,Mobile App,25,449.0,0
148,47,Akwa Ibom,Business,50k-150k,97627.06,31,18,1,Mobile App,41,441.0,1
149,68,Kwara,Savings,50k-150k,55776.74,21,13,1,Branch,5,607.0,0
150,66,Cross River,Business,50k-150k,254660.55,21,32,2,ATM,79,587.0,0
151,18,Lagos,Current,50k-150k,338039.01,22,13,1,Mobile App,86,583.0,0
152,50,Sokoto,Current,>600k,334817.08,25,15,3,Mobile App,56,591.0,0
153,66,Enugu,Savings,50k-150k,252586.38,25,20,0,Mobile App,114,499.0,1
154,32,Ondo,Current,300k-600k,29920.28,28,18,2,Mobile App,11,581.0,1
155,46,Lagos,Current,<50k,50151.66,23,24,0,Mobile App,54,586.0,0
156,19,Benue,Current,<50k,138804.69,31,20,0,Mobile App,104,496.0,1
157,28,Nasarawa,Current,150k-300k,141591.3,15,24,2,USSD,78,728.0,0
158,51,Adamawa,Savings,50k-150k,134095.76,35,19,2,USSD,46,603.0,0
159,69,Abia,Savings,50k-150k,349784.38,21,18,0,Mobile App,63,453.0,0
160,58,Kwara,Savings,150k-300k,26793.42,18,13,3,USSD,26,619.0,0
161,36,Kaduna,Savings,50k-150k,314297.81,25,14,1,Branch,20,472.0,1
162,19,Borno,Savings,<50k,4517.22,24,17,1,USSD,105,631.0,0
163,65,Taraba,Savings,50k-150k,78038.63,30,18,0,Mobile App,11,664.0,0
164,37,Borno,Current,<50k,43755.62,27,27,1,Mobile App,82,486.0,0
165,58,Osun,Current,300k-600k,149581.93,18,12,0,ATM,53,647.0,0
166,69,Ekiti,Savings,150k-300k,148422.8,20,17,1,Mobile App,36,597.0,0
167,48,Abia,Current,>600k,141264.37,21,14,0,Mobile App,44,634.0,0
168,21,Osun,Savings,300k-600k,68165.36,21,11,2,Mobile App,86,731.0,0
169,46,FCT,Savings,50k-150k,147546.22,24,18,0,Mobile App,5,538.0,0
170,47,Abia,Current,300k-600k,244684.51,26,12,0,Mobile App,107,492.0,0
171,30,Bauchi,Savings,150k-300k,100099.57,30,27,2,USSD,30,480.0,0
172,32,Adamawa,Current,50k-150k,528008.25,32,16,1,Mobile App,38,487.0,0
173,37,Kogi,Savings,50k-150k,14185.21,36,15,2,Mobile App,88,553.0,0
174,51,Oyo,Current,150k-300k,870120.46,29,14,0,Mobile App,93,591.0,0
175,45,Ebonyi,Savings,50k-150k,286582.05,29,22,1,USSD,16,585.0,0
176,37,Osun,Savings,150k-300k,179876.09,32,22,1,USSD,108,634.0,0
177,67,Akwa Ibom,Savings,50k-150k,45466.47,27,17,2,USSD,26,561.0,0
178,42,Ekiti,Current,150k-300k,197400.63,26,21,2,ATM,37,691.0,0
179,44,Akwa Ibom,Savings,<50k,323981.67,26,21,4,ATM,83,536.0,1
180,47,Delta,Savings,150k-300k,58510.95,24,14,1,Mobile App,28,805.0,0
181,58,Anambra,Savings,150k-300k,8142.69,20,18,2,USSD,67,616.0,0
182,37,Enugu,Savings,50k-150k,116949.35,17,11,0,Mobile App,74,483.0,0
183,18,Kwara,Savings,50k-150k,72606.16,25,15,2,USSD,30,464.0,1
184,52,Jigawa,Savings,50k-150k,67416.04,32,18,1,USSD,82,603.0,0
185,66,Abia,Business,<50k,258056.24,25,13,2,Mobile App,6,540.0,0
186,60,Gombe,Savings,50k-150k,32041.38,22,17,3,Mobile App,74,624.0,0
187,41,Adamawa,Savings,50k-150k,210497.97,29,28,2,USSD,28,603.0,0
188,42,Kaduna,Business,150k-300k,12645.51,29,22,0,USSD,51,553.0,0
189,57,Kogi,Savings,<50k,504865.22,21,21,0,Mobile App,50,484.0,0
190,29,Ondo,Current,<50k,176420.12,34,7,0,Mobile App,92,424.0,1
191,28,Oyo,Savings,150k-300k,534676.28,37,13,0,ATM,91,520.0,0
192,47,Ekiti,Business,150k-300k,404802.91,22,19,2,Branch,85,637.0,0
193,30,Akwa Ibom,Business,<50k,407787.21,24,17,1,Mobile App,91,579.0,0
194,64,Akwa Ibom,Savings,<50k,25509.89,23,16,0,USSD,32,448.0,1
