customer_id,age,state,account_type,monthly_income_bracket,avg_monthly_balance,num_transactions_month,mobile_app_logins,customer_support_calls,preferred_channel,tenure_months,credit_score,churn
1,32,Akwa Ibom,Current,<50k,47634.9,26,19,0,USSD,82,605.0,0
2,37,Niger,Current,300k-600k,34258.35,27,18,2,Mobile App,1,548.0,0
3,21,Edo,Savings,50k-150k,427827.17,19,15,0,Mobile App,23,618.0,0
4,49,FCT,Savings,150k-300k,550278.76,25,17,0,USSD,63,697.0,1
5,39,Edo,Current,<50k,393931.74,36,14,2,Mobile App,22,539.0,1
6,52,Sokoto,Savings,<50k,460388.87,27,19,0,USSD,65,539.0,0
7,31,Ogun,Current,<50k,137927.75,30,25,0,USSD,25,702.0,0
8,47,Enugu,Current,300k-600k,435026.29,37,28,0,Mobile App,63,629.0,1
9,48,Benue,Current,150k-300k,137513.62,32,21,2,USSD,48,518.0,0
10,27,Ogun,Savings,300k-600k,98194.07,26,17,2,Branch,109,609.0,1
11,23,Delta,Savings,150k-300k,39710.6,29,24,0,Mobile App,37,518.0,0
12,44,Cross River,Savings,150k-300k,288385.3,34,17,0,USSD,5,518.0,1
13,28,Taraba,Savings,50k-150k,179235.89,25,23,3,USSD,95,582.0,0
14,53,Osun,Current,<50k,90761.49,31,15,0,Mobile App,47,388.0,1
15,27,Kaduna,Savings,<50k,5912.7,31,14,1,USSD,29,405.0,1
16,33,Osun,Savings,50k-150k,222271.03,26,19,1,USSD,104,509.0,0
17,41,Oyo,Savings,50k-150k,241768.42,23,19,1,Branch,75,469.0,1
18,38,Ekiti,Business,<50k,16194.02,13,13,2,USSD,100,588.0,1
19,57,Kogi,Current,50k-150k,169518.41,28,24,0,Mobile App,71,478.0,0
20,58,Imo,Savings,300k-600k,96572.55,23,18,1,USSD,46,433.0,0
21,53,Rivers,Current,150k-300k,214055.63,21,11,1,Mobile App,31,692.0,1
22,66,Niger,Current,50k-150k,86770.68,33,14,1,Mobile App,84,540.0,0
23,59,Plateau,Savings,50k-150k,260413.45,16,19,0,Mobile App,33,566.0,0
24,62,Kano,Business,<50k,28154.16,24,28,2,ATM,33,432.0,0
25,40,Taraba,Current,300k-600k,62102.45,24,19,2,USSD,111,511.0,1
26,38,Bayelsa,Current,50k-150k,214503.62,20,17,1,Branch,57,570.0,0
27,49,Yobe,Current,150k-300k,333862.3,19,19,3,USSD,83,456.0,0
28,34,Ebonyi,Savings,300k-600k,290771.97,23,10,1,Branch,42,594.0,0
29,68,FCT,Savings,50k-150k,119257.4,22,16,0,ATM,15,506.0,0
30,34,Kogi,Savings,150k-300k,71943.18,28,12,0,Mobile App,34,534.0,0
31,38,Ekiti,Current,300k-600k,108550.07,24,26,3,Branch,8,506.0,1
32,21,Imo,Current,<50k,117817.79,23,22,1,USSD,119,727.0,0
33,40,Niger,Savings,<50k,24526.0,13,19,0,Mobile App,68,559.0,0
34,42,Kogi,Savings,300k-600k,47023.72,26,12,1,Mobile App,73,465.0,0
35,49,Ekiti,Current,300k-600k,48552.82,26,19,3,USSD,14,634.0,1
36,23,Kwara,Savings,50k-150k,63268.08,25,16,0,Branch,31,450.0,0
37,31,Rivers,Current,50k-150k,138671.43,31,17,2,Mobile App,1,579.0,0
38,58,Kwara,Savings,150k-300k,55986.75,27,9,0,Mobile App,112,384.0,1
39,55,Rivers,Savings,<50k,427942.79,25,15,0,Mobile App,70,440.0,1
40,59,Ondo,Savings,<50k,494147.51,20,16,0,Mobile App,11,578.0,0
41,55,Sokoto,Current,300k-600k,861540.1,31,13,2,Branch,112,626.0,0
42,58,Niger,Savings,150k-300k,36207.11,21,21,0,ATM,111,575.0,0
43,62,Oyo,Savings,150k-300k,257922.54,36,15,2,Mobile App,69,550.0,1
44,33,Jigawa,Business,50k-150k,425102.1,29,14,0,Mobile App,68,533.0,1
45,49,Osun,Savings,50k-150k,13112.84,27,25,3,Branch,93,427.0,0
46,33,Adamawa,Savings,>600k,345120.31,18,19,0,USSD,57,495.0,0
47,36,Taraba,Savings,150k-300k,177876.21,29,16,0,USSD,90,519.0,1
48,54,Edo,Current,<50k,71915.96,22,23,0,Mobile App,68,655.0,0
49,60,Kebbi,Current,50k-150k,176237.71,25,15,2,Branch,62,591.0,0
50,38,Ogun,Business,50k-150k,154176.8,25,19,1,USSD,60,401.0,0
51,32,Akwa Ibom,Current,<50k,284203.41,23,19,0,USSD,71,589.0,1
52,43,FCT,Savings,300k-600k,44687.14,20,12,1,USSD,26,525.0,1
53,47,Niger,Savings,50k-150k,47218.58,23,16,2,Mobile App,117,499.0,0
54,57,Bauchi,Current,50k-150k,17882.72,32,22,1,USSD,62,615.0,1
55,32,Katsina,Business,>600k,175897.0,27,20,1,ATM,93,653.0,0
56,60,Borno,Business,<50k,258913.49,29,25,3,ATM,100,644.0,0
57,30,Ondo,Current,50k-150k,136988.48,24,13,1,Mobile App,1,484.0,1
58,44,Osun,Current,<50k,158871.73,23,25,0,Mobile App,117,532.0,1
59,40,Adamawa,Current,50k-150k,71574.98,21,14,2,Branch,51,590.0,0
60,51,Adamawa,Current,<50k,119638.15,30,17,2,Branch,14,648.0,1
61,51,Kwara,Savings,<50k,399769.51,29,18,0,Mobile App,117,517.0,0
62,40,Delta,Savings,50k-150k,393424.05,25,21,0,USSD,15,543.0,1
63,61,Ondo,Savings,<50k,351754.6,24,17,1,Branch,54,460.0,0
64,37,Kano,Current,300k-600k,26284.57,24,17,2,USSD,44,452.0,0
65,26,Ondo,Savings,<50k,723802.55,22,20,3,Mobile App,16,633.0,1
66,37,Plateau,Savings,50k-150k,17300.5,22,20,1,Mobile App,10,682.0,1
67,64,Adamawa,Current,150k-300k,699817.25,21,26,0,Mobile App,58,554.0,1
68,56,Osun,Savings,300k-600k,234015.8,21,16,3,Mobile App,99,650.0,1
69,31,Enugu,Savings,>600k,456596.97,32,23,3,Mobile App,49,593.0,1
70,66,Ondo,Business,50k-150k,254728.43,29,23,0,Mobile App,37,502.0,0
71,43,Abia,Business,50k-150k,307838.24,24,20,0,ATM,3,593.0,1
72,44,Imo,Savings,150k-300k,487496.28,19,23,1,Mobile App,105,698.0,0
73,51,FCT,Savings,50k-150k,508995.14,26,18,2,USSD,51,557.0,0
74,46,Kebbi,Current,50k-150k,60731.72,29,26,1,Mobile App,64,701.0,1
75,49,Enugu,Current,50k-150k,1597498.91,21,11,0,USSD,29,324.0,0
76,58,Jigawa,Savings,300k-600k,174193.87,28,14,3,Mobile App,73,634.0,1
77,62,Gombe,Current,50k-150k,482615.36,35,23,3,Branch,53,568.0,1
78,22,Plateau,Current,150k-300k,74879.57,26,22,0,USSD,37,533.0,0
79,21,Zamfara,Savings,50k-150k,92814.94,25,19,2,Mobile App,23,568.0,0
80,40,Enugu,Current,<50k,57493.79,23,20,1,ATM,30,381.0,1
81,38,Zamfara,Savings,<50k,439084.09,18,19,1,Mobile App,53,540.0,1
82,50,Ogun,Current,150k-300k,224302.61,22,17,3,Mobile App,48,592.0,0
83,58,Akwa Ibom,Current,<50k,10919.16,23,14,1,Mobile App,7,693.0,1
84,41,Zamfara,Savings,300k-600k,76373.41,26,17,2,Mobile App,47,513.0,0
85,33,Bayelsa,Savings,50k-150k,22027.65,16,13,1,Mobile App,65,487.0,1
86,49,Ogun,Current,300k-600k,101637.82,35,16,1,Branch,6,515.0,0
87,36,Kogi,Savings,50k-150k,400125.05,21,18,1,Mobile App,2,642.0,0
88,43,Kogi,Savings,<50k,108959.76,26,18,0,Branch,59,590.0,0
89,20,Zamfara,Savings,<50k,8894.86,29,16,1,Mobile App,13,512.0,0
90,52,Rivers,Current,<50k,78549.71,26,18,0,Mobile App,44,606.0,1
91,56,Ogun,Savings,50k-150k,252503.32,23,19,3,ATM,3,569.0,1
92,35,Benue,Current,50k-150k,130021.31,28,14,0,Mobile App,38,647.0,1
93,69,Edo,Savings,<50k,271053.16,25,13,3,Mobile App,82,497.0,0
94,24,Imo,Current,50k-150k,273009.77,23,25,4,USSD,8,531.0,1
95,49,Bauchi,Savings,<50k,331410.24,29,21,4,Mobile App,83,525.0,1
96,41,Yobe,Savings,50k-150k,320669.41,23,20,2,USSD,97,428.0,1
97,33,Cross River,Current,150k-300k,223584.04,27,30,0,Mobile App,95,587.0,0
98,41,Osun,Savings,50k-150k,176356.06,27,11,0,Mobile App,96,583.0,1
99,21,Ogun,Business,50k-150k,18013.98,28,21,0,Branch,38,560.0,0
100,62,Rivers,Current,<50k,42169.2,20,19,1,Branch,96,539.0,0
101,49,Delta,Current,50k-150k,388957.16,16,15,3,Mobile App,29,433.0,1
102,59,Nasarawa,Current,>600k,360028.79,36,23,1,Mobile App,96,522.0,1
103,51,Nasarawa,Current,>600k,152633.38,22,25,1,Mobile App,67,529.0,1
104,36,Anambra,Savings,50k-150k,327331.99,29,18,0,Mobile App,109,488.0,1
105,31,Kwara,Current,150k-300k,66626.15,25,15,2,Mobile App,84,545.0,0
106,55,Delta,Current,50k-150k,4742.79,29,20,2,Branch,94,596.0,1
107,30,Bayelsa,Business,<50k,95964.74,20,14,0,USSD,30,730.0,0
108,39,Ekiti,Savings,150k-300k,381543.31,21,14,1,Mobile App,97,576.0,0
109,48,Plateau,Savings,50k-150k,9536.28,27,21,0,Branch,2,583.0,1
110,61,Bauchi,Current,150k-300k,21912.65,22,25,0,ATM,51,553.0,0
111,61,Anambra,Savings,50k-150k,89070.69,22,12,3,USSD,64,387.0,0
112,47,Akwa Ibom,Current,<50k,86281.12,24,22,3,ATM,86,558.0,0
113,40,Oyo,Savings,300k-600k,149790.82,21,17,0,Mobile App,14,565.0,0
114,29,Kwara,Current,<50k,145328.77,25,19,2,Branch,14,782.0,0
115,60,FCT,Savings,50k-150k,7549.04,22,18,0,USSD,18,543.0,1
116,31,Kaduna,Savings,150k-300k,157235.97,28,19,1,Mobile App,84,587.0,1
117,53,Yobe,Business,300k-600k,24987.4,28,14,0,Branch,53,557.0,0
118,62,Bauchi,Current,<50k,244250.86,30,15,1,Mobile App,88,455.0,0
119,25,Ondo,Current,<50k,568759.21,24,22,1,USSD,82,663.0,1
120,41,Kaduna,Current,50k-150k,1121660.49,31,23,3,Mobile App,9,628.0,1
121,20,Borno,Savings,50k-150k,117195.08,21,19,2,USSD,79,631.0,1
122,31,Edo,Savings,150k-300k,208843.59,34,18,1,Mobile App,42,478.0,1
123,68,Oyo,Current,<50k,152699.09,21,20,3,USSD,52,686.0,0
124,67,Kogi,Savings,150k-300k,38996.39,30,17,0,Mobile App,89,434.0,1
125,28,Bayelsa,Current,150k-300k,128503.56,29,16,1,USSD,114,613.0,0
126,62,Oyo,Business,300k-600k,572482.59,27,17,1,USSD,85,757.0,0
127,55,Borno,Current,150k-300k,145982.55,30,18,2,USSD,46,471.0,1
128,45,Osun,Savings,300k-600k,324665.35,30,12,2,Mobile App,22,509.0,0
129,40,Plateau,Savings,150k-300k,174217.97,23,14,0,USSD,87,569.0,1
