customer_id,gender,age,state,city_type,occupation,education_level,marital_status,num_dependents,income_monthly_ngn,avg_balance_ngn,monthly_deposit_ngn,monthly_withdrawal_ngn,monthly_transactions,num_products,has_mobile_app,uses_agent,loan_active,savings_goal_met,recent_complaints,last_login_days_ago,bvn_verified,nin_linked,telecom_provider,churn
CUST100000,Male,45,Lagos,Peri-urban,Student,No formal,Widowed,1,171790.0,20470.0,4373.0,3645.0,12,2,1,1,0,0,0,142,1,1,9mobile,1
CUST100001,Female,24,Benue,Peri-urban,Unemployed,No formal,Widowed,3,13816.0,73385.0,17156.0,14212.0,7,1,1,0,0,0,0,343,1,1,Airtel,1
CUST100002,Female,52,Lagos,Urban,Unemployed,No formal,Married,5,49325.0,15407.0,101422.0,78762.0,7,1,1,0,0,1,0,215,0,1,9mobile,0
CUST100003,Female,45,Rivers,Rural,Trader,Primary,Married,2,122653.0,111059.0,6513.0,2640.0,7,1,1,0,0,0,0,233,1,1,Airtel,0
CUST100004,Male,31,Rivers,Urban,Trader,Secondary,Married,2,80714.0,3705.0,1038.0,515.0,10,1,0,1,0,0,0,54,1,0,GLO,0
CUST100005,Male,27,Katsina,Urban,Salaried,Tertiary,Single,1,27982.0,90233.0,16717.0,17052.0,7,1,1,1,0,0,0,353,1,1,9mobile,1
CUST100006,Male,33,Anambra,Peri-urban,Farmer,Primary,Married,3,100176.0,4801.0,25861.0,19451.0,11,1,1,0,0,1,0,170,1,0,Other,0
CUST100007,Female,33,Katsina,Urban,Self-employed,No formal,Married,1,24479.0,2889.0,10594.0,9910.0,11,1,1,1,1,0,0,172,1,1,GLO,0
CUST100008,Female,48,Lagos,Urban,Business Owner,Primary,Single,2,32063.0,22569.0,23411.0,19031.0,6,1,1,0,0,0,0,280,1,1,MTN,0
CUST100009,Female,59,Imo,Urban,Farmer,Postgraduate,Widowed,2,35240.0,156806.0,91986.0,30799.0,8,1,1,0,0,0,0,143,1,1,Airtel,0
CUST100010,Male,42,FCT Abuja,Peri-urban,Farmer,No formal,Married,1,280772.0,205178.0,11209.0,11395.0,8,2,1,0,0,0,0,246,1,1,MTN,1
CUST100011,Female,30,FCT Abuja,Urban,Farmer,Tertiary,Divorced,4,15576.0,11287.0,11107.0,3975.0,8,3,1,0,0,0,0,28,1,1,Other,0
CUST100012,Female,23,Rivers,Peri-urban,Business Owner,No formal,Widowed,2,16646.0,8046.0,19778.0,22722.0,7,1,0,0,1,0,0,319,1,1,Airtel,0
CUST100013,Male,61,Imo,Urban,Salaried,Tertiary,Divorced,1,90331.0,21767.0,21728.0,10730.0,9,3,1,1,0,1,0,123,1,1,MTN,0
CUST100014,Male,26,Oyo,Urban,Business Owner,Tertiary,Married,2,76924.0,20556.0,41.0,31.0,4,1,0,1,0,0,0,172,1,1,GLO,1
CUST100015,Male,62,Lagos,Rural,Salaried,Secondary,Single,0,45858.0,71271.0,28704.0,10254.0,14,1,0,0,1,0,0,233,1,1,MTN,0
CUST100016,Male,53,FCT Abuja,Urban,Business Owner,Secondary,Single,0,70876.0,29349.0,178079.0,196855.0,4,2,1,1,0,1,0,364,1,1,Airtel,0
CUST100017,Male,60,Imo,Rural,Self-employed,Primary,Single,1,26854.0,75680.0,10360.0,12245.0,6,3,1,0,0,0,0,25,1,1,GLO,0
CUST100018,Male,37,Imo,Urban,Farmer,Primary,Married,0,76051.0,69058.0,29893.0,12904.0,5,2,1,0,0,0,0,84,1,1,Other,0
CUST100019,Male,35,Lagos,Rural,Salaried,Tertiary,Married,2,84532.0,43174.0,139.0,79.0,6,1,1,0,0,0,0,49,1,0,MTN,0
CUST100020,Female,60,Ogun,Urban,Business Owner,No formal,Divorced,4,208873.0,89642.0,27815.0,8742.0,4,1,1,0,1,0,0,154,1,1,9mobile,0
CUST100021,Male,38,Imo,Urban,Self-employed,Postgraduate,Single,2,389571.0,10886.0,17776.0,17923.0,6,1,1,0,0,0,0,99,1,1,Airtel,0
CUST100022,Male,21,Imo,Urban,Business Owner,Postgraduate,Married,5,55017.0,8826.0,22669.0,13155.0,7,1,1,0,0,0,0,79,1,1,9mobile,0
CUST100023,Male,67,Enugu,Urban,Unemployed,No formal,Widowed,4,22254.0,69445.0,23552.0,19547.0,8,1,1,0,0,0,1,28,0,1,9mobile,0
CUST100024,Male,50,Anambra,Peri-urban,Self-employed,No formal,Married,4,98985.0,14038.0,5842.0,1959.0,9,1,1,1,0,0,0,134,1,1,MTN,0
CUST100025,Female,44,Katsina,Urban,Farmer,Secondary,Married,2,62058.0,140.0,44086.0,41613.0,6,1,0,0,0,1,1,61,1,1,9mobile,0
CUST100026,Male,24,Lagos,Urban,Student,Postgraduate,Widowed,3,59634.0,121498.0,24322.0,18885.0,5,1,1,0,0,0,0,70,1,0,GLO,1
CUST100027,Male,23,Enugu,Urban,Farmer,Tertiary,Single,3,16420.0,48767.0,9449.0,9000.0,12,1,1,0,0,1,0,289,1,1,Other,0
CUST100028,Female,32,Imo,Urban,Student,Primary,Widowed,2,76497.0,29434.0,83121.0,84003.0,8,1,1,0,0,0,0,132,1,1,Other,1
CUST100029,Male,35,Ogun,Peri-urban,Self-employed,Secondary,Single,3,102419.0,64683.0,386.0,147.0,12,1,1,0,0,0,1,116,1,1,9mobile,0
CUST100030,Female,49,Katsina,Urban,Unemployed,Postgraduate,Widowed,2,171153.0,20273.0,38832.0,31853.0,2,4,1,0,0,1,0,7,1,1,Airtel,0
